,type,row_count,column_count,thread_count,iteration_count,func,time,max_time,min_time
0,mpi,1000,1000,1,1,1.0,120.855,156.910742076,115.612089665
1,mpi,10000,1,1,1,1.0,2.948,3.82750293856,2.82011038295
2,mpi,10000,1,8,1,1.0,8.856,11.4980888819,8.47181056696
3,mpi,10000,1,16,1,1.0,22.94,29.7838932872,21.9448209582
4,mpi,10000,1,34,1,1.0,68.495,88.9297197343,65.5235619674
5,mpi,10000,1,1,1,2.0,32.314,41.9545216949,30.9121597404
6,mpi,10000,1,8,1,2.0,28.387,36.8559450193,27.1555201631
7,mpi,10000,1,16,1,2.0,24.339,31.6002693425,23.2831297865
8,mpi,10000,1,34,1,2.0,71.208,92.4521130424,68.118867079
9,mpi,10000,1,1,5,1.0,8.991,11.6733646271,8.60095402072
10,mpi,10000,1,8,5,1.0,35.271,45.7937096832,33.7408796869
11,mpi,10000,1,16,5,1.0,44.676,58.0045865954,42.7378736325
12,mpi,10000,1,34,5,1.0,89.914,116.738839626,86.0133666799
13,mpi,10000,1,1,5,2.0,161.514,209.699901499,154.507228084
14,mpi,10000,1,8,5,2.0,47.178,61.2530304055,45.1313323089
15,mpi,10000,1,16,5,2.0,54.155,70.3115405827,51.8056573231
16,mpi,10000,1,34,5,2.0,71.1,92.3118924463,68.015552316
17,mpi,1,10000,1,1,1.209,,,
18,mpi,1,10000,1,1,1.0,22.349,29.0165750251,21.3794596162
19,mpi,1,10000,1,1,1.0,47.313,61.4283061507,45.2604757627
20,mpi,1,10000,1,1,1.0,121.297,157.484607849,116.034914898
21,mpi,1,10000,1,1,2.0,31.763,41.2391369869,30.3850631254
22,mpi,1,10000,1,1,2.0,62.569,81.2357636916,59.8546426563
23,mpi,1,10000,1,1,2.0,65.556,85.1139018454,62.7120611481
24,mpi,1,10000,1,1,2.0,156.136,202.717435148,149.362535533
25,mpi,1,10000,1,5,1.0,5.513,7.15774209643,5.27383600447
26,mpi,1,10000,1,5,1.0,43.134,56.0025480841,41.262768405
27,mpi,1,10000,1,5,1.0,46.036,59.7703274354,44.0388743519
28,mpi,1,10000,1,5,1.0,108.573,140.964544284,103.862905227
29,mpi,1,10000,1,5,2.0,158.457,205.730879625,151.58284632
30,mpi,1,10000,1,5,2.0,189.182,245.622340883,180.974939778
31,mpi,1,10000,1,5,2.0,192.275,249.638102955,183.933759797
32,mpi,1,10000,1,5,2.0,252.812,328.235642098,241.844554319
33,mpi,1000,1000,16,5,1.0,62.334,80.9306540612,59.6298373849
34,mpi,1000,1000,34,5,1.0,86.122,111.815538696,82.3858705564
35,mpi,1000,1000,1,5,2.0,15839.277,20564.7487321,15152.1402734
36,mpi,1000,1000,8,5,2.0,2006.104,2604.6027663,1919.07554941
37,mpi,1000,1000,16,5,2.0,1129.864,1466.94632977,1080.84843885
38,mpi,1000,1000,34,5,2.0,745.786,968.282939803,713.432443032
39,mpi,5000,5000,1,1,1.0,2811.356,3650.09272434,2689.3942489
40,mpi,5000,5000,8,1,1.0,360.272,467.755135238,344.642743516
41,mpi,5000,5000,16,1,1.0,194.067,251.96472618,185.648019568
42,mpi,5000,5000,34,1,1.0,151.722,196.986567451,145.140022904
43,mpi,1000,1000,8,1,1.0,22.282,28.9295863219,21.3153661984
44,mpi,5000,5000,1,1,2.0,79089.266,102684.666901,75658.2293848
45,mpi,5000,5000,8,1,2.0,9890.311,12840.9750393,9461.25126923
46,mpi,5000,5000,16,1,2.0,5072.629,6585.99131741,4852.56910168
47,mpi,5000,5000,34,1,2.0,2435.244,3161.77190167,2329.59867348
48,mpi,5000,5000,1,5,1.0,15003.073,19479.0725899,14352.2123282
49,mpi,5000,5000,8,5,1.0,1865.335,2421.83690431,1784.41336539
50,mpi,5000,5000,16,5,1.0,968.694,1257.69305684,926.670287415
51,mpi,5000,5000,34,5,1.0,518.758,673.52366669,496.253331763
52,mpi,5000,5000,1,5,2.0,395834.0,513926.661527,378661.999092
53,mpi,5000,5000,8,5,2.0,49491.359,64256.5542761,47344.333576
54,mpi,1000,1000,16,1,1.0,14.518,18.8492834674,13.8881826797
55,mpi,5000,5000,16,5,2.0,25343.422,32904.3494499,24243.9781281
